question_id,section_id,text,option_a,option_b,option_c,option_d,correct_option,bloom_level,difficulty,lo_id,lo_title,hint,explanation,icon
q1_1,see_things,"If you are placed in a completely dark room containing a polished mirror and a red apple, what will you see?","The mirror only, because its surface is highly reflective","The apple only, because red is a high-visibility wavelength","Neither object, because vision requires light to enter the eye","Both objects dimly, once your eyes adapt to the darkness",C,apply,medium,SCI6-CH10-S01-LO01,Rectilinear Propagation & Reflection,Consider what physical stimulus the retina requires to form an image.,"Vision strictly requires light rays from a luminous source or reflected off an illuminated object to enter the pupil. In total darkness, no photons exist to reflect into the eye.",eye
q1_2,see_things,"Why is it impossible to see around a sharp 90-degree corner without a mirror, even in bright daylight?",Visible light rays travel strictly in straight lines (rectilinear propagation),Ambient air molecules bend light rays backward before they turn,Human retinas cannot focus on angled light beams,Obstacles slow light down until it loses energy,A,understand,easy,SCI6-CH10-S01-LO01,Rectilinear Propagation & Reflection,Think about the geometric path light rays take in a uniform medium.,"Light travels in straight lines through a homogeneous medium. Because it cannot bend around opaque physical obstructions on its own, corners block the direct optical path to our eyes.",corner-up-right
q1_3,see_things,Which of the following celestial objects is a non-luminous body that is visible only because it reflects sunlight?,The Sun,A distant star,The Moon,A glowing meteoroid,C,remember,easy,SCI6-CH10-S01-LO01,Rectilinear Propagation & Reflection,Which body does not generate thermonuclear or chemical light of its own?,The Moon does not produce its own light; it is an illuminated opaque body that reflects sunlight toward the Earth.,moon
q1_4,see_things,How does a submarine periscope allow a submerged crew to observe surface ships?,It bends light rays using high-pressure optical fluid lenses,It uses two plane mirrors oriented parallel at 45-degree angles to bounce light downward,It magnifies sound waves into visible optical wavelengths,It polarizes ambient sea water to make it transparent,B,apply,medium,SCI6-CH10-S01-LO01,Rectilinear Propagation & Reflection,Recall the law of reflection: angle of incidence equals angle of reflection on two parallel mirrors.,"A periscope utilizes two parallel plane mirrors fixed at 45° to the tube's axis. Surface light strikes the top mirror, reflects 90° down the tube, and reflects another 90° off the bottom mirror into the observer's eye.",telescope
q1_5,see_things,"If a shirt that appears pure blue under white daylight is illuminated solely by pure monochromatic red light, what color will it appear?",Bright red,Deep blue,Vibrant purple,Black,D,analyze,hard,SCI6-CH10-S01-LO01,Rectilinear Propagation & Reflection,A blue dye absorbs red photons and only reflects blue wavelengths.,"A blue pigment reflects blue wavelengths and absorbs all other visible wavelengths (including red). In the absence of blue light, all incoming red light is absorbed, resulting in zero reflected light — hence the shirt appears black.",palette
q1_6,see_things,"Why is a green laser pointer beam clearly visible traversing across a smoky room, but completely invisible in filtered clean air?",Smoke particles actively generate their own green photons,Suspended airborne smoke particles scatter a fraction of the laser light toward the observer's eyes,Clean air absorbs 100% of visible laser radiation,Smoke accelerates photons beyond their normal speed,B,understand,medium,SCI6-CH10-S01-LO01,Rectilinear Propagation & Reflection,"To see a light beam from the side, light must be redirected into your eyes.","In clean air, laser photons travel in an uninterrupted straight line away from you. Smoke or dust particles cause diffuse scattering (Tyndall effect), redirecting some photons into your retina so the beam path becomes visible.",wind
q1_7,see_things,Which anatomical structure of the human eye serves as the light-sensitive projection screen where inverted images are focused?,The cornea,The crystalline lens,The retina,The pupil,C,remember,easy,SCI6-CH10-S01-LO01,Rectilinear Propagation & Reflection,It is lined with photoreceptor rods and cones at the back of the eyeball.,"The retina is the neuro-sensory tissue coating the back of the eyeball. The cornea and lens focus light rays onto the retina, converting photon energy into electrical signals for the optic nerve.",eye
q1_8,see_things,Why does the human pupil involuntarily dilate (expand) when entering a dimly lit auditorium?,To relax the ciliary muscles and decrease focal length,To maximize the aperture and allow more ambient photons to reach the retina,To change the color balance of peripheral vision,To prevent corneal drying in low humidity,B,understand,easy,SCI6-CH10-S01-LO01,Rectilinear Propagation & Reflection,Think of the pupil like the adjustable aperture of a camera lens.,"The iris relaxes the pupil aperture in low-light environments so that a greater amount of available light can strike the retinal photoreceptors, enhancing low-light sensitivity.",maximize
q1_9,see_things,"Why does a flat, polished silver surface create a crisp mirror image, whereas a crumpled sheet of silver foil creates only a diffuse glare?","The flat mirror reflects all incoming parallel rays in parallel alignment (specular reflection), while the foil bounces rays in random directions (diffuse reflection)",The foil absorbs 90% of visible light while the mirror absorbs zero,The flat mirror converts light waves into laser coherence,Foil has a microscopic chemical film that destroys photon wavelengths,A,analyze,hard,SCI6-CH10-S01-LO01,Rectilinear Propagation & Reflection,Consider what happens to parallel incoming rays when surface normals point in random directions.,"Specular reflection occurs on smooth surfaces where parallel rays bounce off parallel surface normals. Crumpled foil has microscopic peaks and troughs, dispersing reflected rays irregularly into diffuse scattering.",sparkles
q1_10,see_things,"When a straight pencil is submerged partially into a glass tumbler of water, it appears broken or bent at the air-water boundary. What causes this phenomenon?",The water physically exerts mechanical force that flexes the pencil wood,Light changes speed and bends as it traverses the boundary between media of different optical densities (refraction),Water molecules reflect all light before it reaches the surface,The cylindrical glass acts as an opaque barrier,B,understand,medium,SCI6-CH10-S01-LO01,Rectilinear Propagation & Reflection,Think of light changing speed as it travels through denser liquid.,"Light travels slower in water than in air. When light rays from the pencil cross from water into air at an angle, they change velocity and bend away from the normal (refraction), making the pencil appear displaced.",droplets
